S,T,fillRate,instance1,instance2,instance3,instance4,instance5,instance6,instance7,instance8,instance9,instance10,instance11,instance12,instance13,instance14,instance15,instance16,instance17,instance18,instance19,instance20,instance21,instance22,instance23,instance24,instance25,instance26,instance27,instance28,instance29,instance30,Avg
5,3,6.700000e-01,1,4,2,3,3,1,4,3,3,3,3,3,2,4,1,3,1,1,3,2,1,3,4,3,2,1,4,2,6,3,2.633333e+00
6,3,6.700000e-01,5,4,6,3,0,4,1,4,4,4,3,1,3,2,5,5,4,5,5,3,4,4,3,5,3,4,3,2,4,2,3.500000e+00
7,3,6.700000e-01,3,1,2,4,2,2,5,2,2,3,4,4,2,4,4,5,4,5,5,5,7,5,6,3,3,3,4,2,3,4,3.600000e+00
8,3,6.700000e-01,5,4,4,6,5,4,4,5,2,6,4,4,6,7,0,5,3,3,3,5,7,5,6,5,5,3,2,1,4,2,4.166667e+00
9,3,6.700000e-01,6,5,5,5,4,8,4,4,5,6,7,4,2,7,1,5,4,1,4,5,2,4,6,6,3,6,4,8,5,2,4.600000e+00
10,3,6.700000e-01,5,5,5,3,7,3,6,6,4,6,6,4,4,4,5,5,5,4,5,7,2,7,4,5,7,5,6,4,3,4,4.866667e+00
5,4,6.700000e-01,3,7,5,9,3,4,5,8,4,5,6,4,6,4,1,3,6,6,3,4,5,4,5,4,5,8,6,7,5,1,4.866667e+00
6,4,6.700000e-01,9,7,7,4,4,10,6,9,6,5,10,6,6,6,6,7,8,6,8,8,5,9,5,9,4,8,7,7,4,3,6.633333e+00
7,4,6.700000e-01,8,4,8,6,7,7,4,9,6,7,6,7,6,7,4,8,2,4,9,8,10,7,8,8,7,8,4,5,3,11,6.600000e+00
8,4,6.700000e-01,9,8,3,6,8,9,10,10,8,6,6,7,10,6,10,8,5,8,10,4,9,5,7,11,7,10,4,7,11,8,7.666667e+00
9,4,6.700000e-01,10,8,7,9,11,10,13,13,5,6,8,9,7,12,8,12,9,8,11,11,10,7,9,8,9,9,5,9,8,9,9
10,4,6.700000e-01,10,8,7,13,11,11,6,9,12,9,9,10,8,5,10,8,8,9,11,13,6,10,12,12,12,8,11,13,10,5,9.533333e+00
5,5,6.700000e-01,15,12,7,13,9,6,9,7,9,7,12,9,12,9,10,12,9,8,12,7,8,8,7,9,7,11,9,12,6,9,9.333333e+00
6,5,6.700000e-01,11,9,9,17,5,8,13,14,6,7,6,8,8,11,12,14,9,11,8,8,9,12,8,8,8,4,8,9,10,6,9.200000e+00
7,5,6.700000e-01,12,11,14,11,11,12,11,8,15,11,12,10,12,9,12,10,13,13,10,12,9,10,9,10,11,7,8,8,11,10,1.073333e+01
8,5,6.700000e-01,14,13,12,12,10,13,14,14,15,14,12,8,10,10,11,14,10,10,14,11,13,13,15,16,10,10,12,11,18,15,1.246667e+01
9,5,6.700000e-01,14,13,13,14,14,15,15,17,17,14,12,17,12,17,13,7,13,15,15,18,16,13,15,18,14,14,17,16,11,15,1.446667e+01
10,5,6.700000e-01,11,16,16,21,13,11,14,15,12,14,17,18,8,16,13,12,15,15,18,19,16,17,17,17,15,18,14,11,18,18,1.516667e+01
5,6,6.700000e-01,18,16,12,12,11,16,11,13,14,12,14,10,13,15,11,11,10,18,11,10,5,10,17,16,12,13,16,16,11,14,1.293333e+01
6,6,6.700000e-01,14,16,16,13,11,10,15,15,17,12,11,11,15,12,13,14,13,13,10,15,19,13,6,13,11,16,16,14,11,15,1.333333e+01
7,6,6.700000e-01,17,12,17,18,14,18,18,15,17,22,15,11,13,16,16,19,16,19,13,20,14,15,15,19,16,12,14,18,21,13,1.610000e+01
8,6,6.700000e-01,24,16,17,20,13,23,14,14,24,15,18,17,14,18,13,14,15,27,20,14,17,20,19,20,18,13,20,26,12,20,1.783333e+01
9,6,6.700000e-01,18,18,23,17,19,21,22,21,19,20,22,20,22,16,22,15,15,12,19,19,20,16,12,19,20,17,18,20,18,18,1.860000e+01
10,6,6.700000e-01,22,26,23,27,17,23,18,23,25,23,23,17,23,21,20,25,23,24,19,19,25,23,19,23,22,21,22,15,22,21,2.180000e+01
